numero_item;categoria;catalogo_utilizado;codigo_classe;nome_classe;codigo_item_catalogo;descricao_objeto;unidade_medida;quantidade_estimada;valor_unitario_estimado;valor_estimado;trimestre_previsto;renovacao_contrato;unidade_requisitante;justificativa;prioridade
46;SERVICO;OUTROS;500;SERVIÇOS DE LIMPEZA E CONSERVAÇÃO;S5000003;Serviços de Lavagem e Higienização de Veículos;MES;12.0;8333.33;100000.0;1;SIM;Frotas;A contratação é necessária e imprescindível, para garantir a higienização dos veículos, assim como preservar a vida útil dos mesmos, deixando-os em perfeito estado de conservação, desta forma, a pretendida contratação de empresa especializada torna-se indispensável, haja vista o fato de não possuirmos em nosso quadro funcional servidores e nem local adequado para realização de tais serviços.;3
47;SERVICO;OUTROS;900;OUTROS SERVIÇOS;S9000003;Serviço de Despachante;UND;12.0;1250.0;15000.0;1;SIM;Frotas;Os despachantes são especializados no setor de veículos terrestres e atuam junto aos órgãos de trânsito, o DETRAN. Tratando-se de serviço de grande necessidade, razão pela qual se justifica a adesão pelo procedimento mais célere para esta casa legislativa.;3
48;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000018;Serviços de locação de multifuncionais laser monocromático (copiadora, impressão, fax e scanner);MES;12.0;62500.0;750000.0;1;SIM;Diretoria Administrativa e Financeira;Serviços de locação de multifuncionais laser monocromático (copiadora, impressão, fax e scanner), para atender as demandas dos setores da Câmara Municipal, incluso manutenções, tonners e demais itens necessários para bom funcionamento.;3
49;SERVICO;OUTROS;300;SERVIÇOS DE CONSULTORIA E ASSESSORIA;S3000008;Serviços de assessoria técnica e consultoria para implantação da Rádio e TV Câmara, a fim de atender as necessidades da Câmara Municipal de Luís Eduardo Magalhães - BA.;MES;12.0;6250.0;75000.0;1;SIM;Diretoria Administrativa e Financeira;Serviços de assessoria técnica e consultoria para implantação da Rádio e TV Câmara, a fim de atender as necessidades da Câmara Municipal de Luís Eduardo Magalhães - BA.;3
50;SERVICO;OUTROS;800;SERVIÇOS DE ENGENHARIA E OBRAS;S8000001;Reforma dos Prédios da Câmara Municipal de Luís Eduardo Magalhães - Ba. Contrato nº 059/2023 executado pela empresa PROJETAJ EMPREENDIMENTOS LTDA;UND;12.0;250000.0;3000000.0;1;SIM;Diretoria Administrativa e Financeira;Reforma dos Prédios da Câmara Municipal de Luís Eduardo Magalhães - Ba, no intuito de resolver probelmas existente nos seguintes lugares: cobertura, forro, impermeabilização, pintura, esquadrias, instalações elétricas, instalações hidráulicas, instalações sanitárias, instalações de aparelhos de ares condicionados, pontos de lógica, instalações contra incêndio e pânico, reforço estrutural dos reservatórios de água, plataformas de acesso a serviços na cobertura dentre outros serviços.;3
51;SERVICO;OUTROS;800;SERVIÇOS DE ENGENHARIA E OBRAS;S8000002;Engenheiro Civil para acompanhar e fiscalizar a execução do Contrato nº 059/2023 executado pela empresa PROJETAJ EMPREENDIMENTOS LTDA;MES;12.0;3750.0;45000.0;1;SIM;Diretoria Administrativa e Financeira;Engenheiro Civil para acompanhar e fiscalizar a execução do Contrato nº 059/2023 executado pela empresa PROJETAJ EMPREENDIMENTOS LTDA. Este especialista dará suporte técnico no que diz respeito a supervisão da obra, confecção dos relatórios, estudos diversos e acompanhamento das alterações de projetos, cronogramas, orçamentos, dentre outras que estejam relacionadas ao bom andamento da obra.;3
52;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000008;Serviço de manutenção predial – pequenos reparos (pedreiro, marceneiro e afins);MES;12.0;2500.0;30000.0;1;SIM;Diretoria Administrativa e Financeira;Fornecimento de mão de obra e serviço especializado, quando necessário, de construção e reparos de estruturas em alvenaria, pisos, esquadrias, telhado e demais reparos para garantir perfeitas condições de uso das instalações do Poder Legislativo.;3
53;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000009;Serviço de manutenção predial - pintura;MES;12.0;8333.33;100000.0;1;SIM;Diretoria Administrativa e Financeira;Fornecimento de mão de obra e serviço especializado quando necessário, de reparo, de pintura e repintura de paredes, tetos, esquadrias, pavimento interno e externo garantindo a conservação das instalações do Poder Legislativo.;3
54;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000010;Serviço de manutenção predial – calhas, rufos e pingadeiras;MES;12.0;8333.33;100000.0;1;SIM;Diretoria Administrativa e Financeira;Fornecimento quando necessário de mão de obra especializada de instalação, reparo e manutenção de sistemas de calhas, dutos, rufos e pingadeiras dos prédios do Poder Legislativo Municipal.;3
55;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000011;Serviço de Pintura e sinalização externa do estacionamento da Câmara.;UND;12.0;4166.67;50000.0;1;SIM;Diretoria Administrativa e Financeira;Contratação de empresa ou profissional para prestação de serviço de pintura e sinalização externa do estacionamento da Câmara de acordo com as normas de trânsito.;3
56;SERVICO;OUTROS;600;SERVIÇOS DE RECURSOS HUMANOS;S6000004;Fornecimento de serviço de seleção e treinamentos;MES;12.0;25000.0;300000.0;1;SIM;Recursos Humanos;Fornecimento de serviço especializado de treinamento e capacitação para as atividades desenvolvidas pelos Vereadores, assessores e setores administrativos do Poder Legislativo e também do Corpo Legislativo para o aprimoramento das atividades desenvolvidas, atualização de métodos, rotinas, técnicas, normas e tecnologia empregada.;3
57;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000019;Serviço de Certificação digital.;MES;12.0;416.67;5000.0;1;SIM;Recursos Humanos;Serviço de Certificação Digital para o órgão e representantes visando atender a legislação e envio de dados, informações do órgão.;3
58;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000020;Serviços personalizados de confecção de placas de festividades, homenagens e afins.;MES;12.0;2500.0;30000.0;1;SIM;Comunicação;Contratação de empresa ou profissional para confecção de placas de festividades e homenagens para entrega nas solenidades e eventos promovidos pelo Poder Legislativo e pela mesa diretora.;3
59;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000012;Serviço de aplicação de gesso;MES;12.0;2500.0;30000.0;1;SIM;Diretoria Administrativa e Financeira;Contratação de serviço de gesseiro para a realização de aplicação de gesso em moldura ou reparos nas dependências do Poder Legislativo, conforme a necessidade e termo de referência a ser elaborado no ato da contratação.;3
60;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000013;Serviço de colocação/troca de piso dos prédios da Câmara.;UND;12.0;225000.0;2700000.0;1;SIM;Diretoria Administrativa e Financeira;Contratação de empresa especializada para retirada e instalação de piso dos dois blocos pertencentes a Câmara Municipal, no intuito de melhorar o ambiente de trabalho.;3
61;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000014;Serviço de reparo e manutenção de mobiliário em geral.;MES;12.0;33333.33;400000.0;1;SIM;Patrimônio;Contratação de empresa ou profissional especializado para o reparo e manutenção de mobiliário em geral (armários, mesas, cadeiras).;3
62;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000021;Serviço de fornecimento de licença de antivírus;UND;102.0;147.06;15000.0;1;SIM;CPD;Contratação de empresa especializada para prestação de serviço de fornecimento de 102 licenças de antivírus ESET PROTECT ADVANCED, que forneça defesa proativa contra ameaças baseadas em nuvem, contra ataques direcionados e novos tipos de ameaças nunca antes visto, especialmente ransomaware. Utilizado para proteção de computadores/servidor da Câmara Municipal Luís Eduardo Magalhães-BA, com validade de 12 meses.;3
63;SERVICO;OUTROS;900;OUTROS SERVIÇOS;S9000004;Serviços especializados para instalação de cerca ao redor do perímetro da Câmara Municipal de Luís Eduardo Magalhães,;UND;12.0;66666.67;800000.0;1;SIM;Diretoria Administrativa e Financeira;Contratação de serviços especializados para instalação de cerca ao redor do perímetro da Câmara Municipal de Luís Eduardo Magalhães, incluindo fornecimento de materiais e mão de obra. A estrutura será metálica, com tratamento anticorrosivo. Extensão Total: Aproximadamente 600 metros lineares. Altura da Cerca: 2.20m. A contratação é necessária para atender à nova demanda de segurança patrimonial e organização do espaço público da Câmara Municipal de Luís Eduardo Magalhães. O objetivo é delimitar adequadamente o perímetro do estacionamento e demais áreas externas, proporcionando maior proteção ao patrimônio público, segurança aos servidores e visitantes, além de cumprir as exigências de proteção perimetral. Essa melhoria também reforça o compromisso da gestão com a preservação dos espaços públicos e a garantia de um ambiente seguro para todos os usuários.;3
64;SERVICO;OUTROS;900;OUTROS SERVIÇOS;S9000005;Contratação de solução integrada de controle de acesso de pessoas e veículos e de registro de frequência.;MES;12.0;125000.0;1500000.0;1;SIM;Diretoria Administrativa e Financeira;A contratação visa modernizar e reforçar o controle de acesso e segurança nas dependências da Câmara Municipal de Luís Eduardo Magalhães. A solução proposta integra controle de pessoas e veículos, registro de frequência e monitoramento em tempo real por câmeras de segurança. As câmeras associadas às cancelas, catracas e ao portal detector de metais garantirão maior visibilidade e segurança nos pontos estratégicos de acesso, promovendo o registro de atividades e permitindo a rápida identificação de eventuais irregularidades. A integração do software de controle de acesso com o sistema de videomonitoramento permitirá a gestão centralizada e a rastreabilidade de veículos e pessoas, atendendo aos princípios de eficiência, segurança e transparência.;3
65;SERVICO;OUTROS;400;SERVIÇOS DE MANUTENÇÃO PREDIAL;S4000015;Contratação de empresa especializada para o fornecimento, instalação e manutenção de um sistema integrado de iluminação cênica para a fachada, áreas externas e eventos internos da Câmara Municipal de Luís Eduardo Magalhães;MES;12.0;66666.67;800000.0;1;SIM;Diretoria Administrativa e Financeira;Implementar um sistema de iluminação cênica moderno e eficiente para a fachada, áreas externas e eventos internos da Câmara Municipal de Luís Eduardo Magalhães. Esta solução será utilizada como um meio de valorização da arquitetura do prédio, modernização da infraestrutura e promoção de conscientização sobre temas relevantes para a sociedade, além de aprimorar a realização de eventos e sessões plenárias.;3
66;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000004;Serviço de Implementação, Gestão e Governança para conformidade com a Lei Geral de Proteção de Dados (Lei no 13.709/2018) e Aquisição de Solução Informatizada de Privacidade, Gestão de Riscos e Segurança da Informação.;MES;12.0;41666.67;500000.0;1;SIM;Diretoria Administrativa e Financeira;Contratação de empresa especializada para a prestação de serviços de Implementação, Gestão e Governança para conformidade com a Lei Geral de Proteção de Dados (Lei no 13.709/2018) e Aquisição de Solução Informatizada de Privacidade, Gestão de Riscos e Segurança da Informação.;3
67;SERVICO;OUTROS;900;OUTROS SERVIÇOS;S9000006;Serviço de publicação dos avisos de licitação em jornal de grande circulação;MES;12.0;12500.0;150000.0;1;SIM;Licitações e Contratos- Agente de Contratação: Lorena Fagundes Brogliatto;Contratação de empresa especializada para o serviço de publicação dos avisos de licitação no jornal de grande circulação no estado da Bahia e jornal de circulação na região oeste da Bahia, a fim de cumprir o principio da publicidade, a transparência dos atos administrativos e principalmente ampliar a participação das empresas nos processos licitatórios realizados pela Câmara Municipal de Luís Eduardo Magalhães/BA.;3
68;SERVICO;OUTROS;900;OUTROS SERVIÇOS;S9000007;Serviço em Publicidade/ Comunicação;MES;12.0;4166.67;50000.0;1;SIM;Comunicação;Contratação de empresa especializada, cujo trabalho será apoiar o aprimoramento da comunicação de boa qualidade e dá suporte a toda a demanda digital da Câmara Municipal.;3
69;SERVICO;OUTROS;700;SERVIÇOS DE COMUNICAÇÃO E MÍDIA;S7000001;Contratação de empresa especializada para a produção de trilhas sonoras originais e vinhetas institucionais destinadas à Rádio e à TV Câmara de Luís Eduardo Magalhães.;MES;12.0;7500.0;90000.0;3;SIM;Diretoria Administrativa e Financeira;A contratação abrange a elaboração de vinhetas de abertura e encerramento de programas, identificação de quadros, prefixos falados e demais peças sonoras personalizadas, essenciais para garantir maior identidade institucional, padronização da comunicação e qualidade nas produções audiovisuais e radiofônicas desenvolvidas pela Casa Legislativa. 2.3. Esse material é essencial para a correta identificação dos programas, quadros e conteúdos transmitidos, possibilitando padronização, qualidade técnica e fortalecimento da imagem institucional. A ausência de tais recursos comprometeria a uniformidade e a atratividade das transmissões, dificultando a consolidação da Rádio e da TV Câmara como veículos de comunicação efetivos, confiáveis e reconhecidos pela sociedade.;3
70;SERVICO;OUTROS;700;SERVIÇOS DE COMUNICAÇÃO E MÍDIA;S7000002;Contratação de empresa especializada na manutenção preventiva e corretiva da Torre Metálica de 75 (setenta e cinco) metros da TV e Rádio Câmara Municipal de Luís Eduardo Magalhães/BA.;MES;12.0;10833.33;130000.0;3;SIM;Diretoria Administrativa e Financeira;A manutenção regular da torre é essencial para garantir o pleno funcionamento dos sistemas de transmissão e comunicação institucional, prevenindo riscos estruturais, elétricos e operacionais, além de assegurar a preservação do patrimônio público e a continuidade dos serviços de radiodifusão e comunicação da Câmara Municipal.;3
71;SERVICO;OUTROS;800;SERVIÇOS DE ENGENHARIA E OBRAS;S8000003;Contratação de profissional especializado para elaboração de projetos técnicos e arquitetônicos necessários a futuras intervenções na Câmara Municipal de Luís Eduardo Magalhães.;MES;12.0;10833.33;130000.0;3;SIM;Diretoria Administrativa e Financeira;A medida busca garantir planejamento adequado, definição precisa de so-luções e orçamentos, além de assegurar eficiência, segurança, funcionalidade e estética nas contratações. Os projetos contemplam desde adequações estruturais até melhorias de segurança, iluminação e mobiliário, sendo divididos em cinco lotes específicos para atender às demandas prioritárias da Casa Legislativa.;3
72;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000022;Renovação completa do sistema de sonorização do Plenário Arnaldo Horácio Ferreira, espaço destinado à realização de sessões plenárias, solenidades, audiências públicas e demais eventos oficiais da Câmara Municipal de Luís Eduardo Magalhães/BA.;UND;12.0;4166.67;50000.0;3;SIM;Diretoria Administrativa e Financeira;A necessidade de renovação do sistema de sonorização do Plenário Arnaldo Horácio Ferreira decorre do desgaste natural decorrente do longo período de utilização dos equipamentos atualmente instalados. O sistema de áudio em operação encontra-se em uso contínuo desde o ano de 2009, sem substituição integral de alto-falantes, cabos, conectores e demais componentes estruturais. Após cerca de 16 (dezesseis) anos de funcionamento, verifica-se que tais elementos atingiram sua vida útil, apresentando falhas recorrentes que comprometem a qualidade sonora e a estabilidade operacional.;3
73;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000023;Contratação de empresa visando o fornecimento dos Projetos Técnicos/Executivos, elaboração de “Estudo de viabilidade Técnico-Econômica”, Memorial Descritivo (materiais, equipamentos e serviços para instalação do sistema solar fotovoltaico).;MES;12.0;10416.67;125000.0;1;SIM;Diretoria Administrativa e Financeira;A elaboração do projeto arquitetônico para a implantação do sistema de geração solar fotovoltaico requer conhecimentos técnicos especializados em Engenharia Elétrica e Civil, além de experiência comprovada na execução de projetos similares. A contratação de uma empresa especializada é essencial para garantir a qualidade, segurança e eficiência do projeto, bem como o cumprimento das normas técnicas e regulamentações vigentes.;3
74;SERVICO;OUTROS;800;SERVIÇOS DE ENGENHARIA E OBRAS;S8000004;Execução do Projeto de Energia Solar;MES;12.0;166666.67;2000000.0;4;SIM;Diretoria Administrativa e Financeira;A contratação ora estudada visa atender à demanda da Casa Legislativa por uma solução eficiente, segura e economicamente vantajosa para suprir parcialmente ou integralmente o consumo de energia elétrica da instituição, garantindo maior estabilidade operacional, redução de custos recorrentes e modernização da infraestrutura elétrica existente.;3
75;SERVICO;OUTROS;700;SERVIÇOS DE COMUNICAÇÃO E MÍDIA;S7000003;Software de gestão da rádio e Tv Câmara;MES;12.0;7083.33;85000.0;4;SIM;Diretoria Administrativa e Financeira;Atualmente, essas atividades são executadas com o uso de ferramentas dispersas, o que dificulta a padronização, o controle de conteúdo e a integração entre os setores de jornalismo, produção, edição e transmissão. Diante desse cenário, identificou-se a necessidade de aquisição de uma solução tecnológica integrada, que ofereça ferramentas de gestão, edição, automação e controle de conteúdo, permitindo maior eficiência, qualidade e profissionalização da comunicação institucional.;3
76;SERVICO;OUTROS;700;SERVIÇOS DE COMUNICAÇÃO E MÍDIA;S7000004;Serviço de coffee break e jantares para reuniões, eventos, capacitações e aniversários do mês.;MES;12.0;8333.33;100000.0;1;SIM;Diretoria Administrativa e Financeira;No cardápio do coffee break deverá conter: 03 variedades de salgados assados, 04 variedades de salgados fritos, 03 variedades de mini sanduíches (frio e/ou quente), 02 variedades de bolo, bolo confeitado (quando aniversário), 02 tipos de doces, salada de frutas. Bebidas: 03 tipos de refrigerante e 03 variedades de suco. É importante pois se comemora os aniversários mensais nos quais todos os servidores se reúnem, tem como principal objetivo agradecer pela vida, pela saúde e, principalmente, criar memórias afetivas, demonstrando a importância de cada um com dedicação e planejamento pra este dia. Necessário frizar também a contratação para os eventos como reuniões e capacitações que acontecem periodicamente nesta Casa de Leis.;3
77;SERVICO;OUTROS;700;SERVIÇOS DE COMUNICAÇÃO E MÍDIA;S7000005;Locação de espaço e buffet para os eventos institucionais do Poder Legislativo.;UND;12.0;8333.33;100000.0;1;SIM;Diretoria Administrativa e Financeira;A locação do espaço e buffet para os eventos institucionais, eventos esses que ocorrem preferencialmente aos finais de ano, os serviços a serem prestados contam com: Alimentação, ornamentação, além de fornecimento de mesas, cadeiras, toalhas de mesa, guardanapos, talheres, pratos, copos e serviços de garçons. O cardápio e maiores informações sobre as confraternizações encontra-se em planilha descritiva anexa a esta Comunicação Interna. Justifica-se a pretendida contratação haja vista que, a realização dos eventos de confraternização, é um momento de lazer entre os servidores e parlamentares que compõem esta Casa Legislativa, visa a renovação das energias para o ano que se iniciará, promovendo a integração e valorização daqueles que durante todo o ano dedicaram várias horas de seu tempo para a organização, e desenvolvimento da Câmara Municipal, demonstrando a importância de seu trabalho para que alcance os resultados desejados, respeitando os princípios legais.;3
78;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000005;Material de Expediente diversos - Papelaria;UND;12.0;14166.67;170000.0;1;SIM;Almoxarifado – Assessora do Almoxarifado: Sâmela Dinarquel de Sousa Castro;O material de expediente é essencial para a realização das atividades diárias do pessoal administrativo, como impressão de documentos, organização de arquivos, comunicação interna e externa, entre outras tarefas essenciais para o funcionamento do órgão. A disponibilidade de material de expediente adequado permite que os funcionários desempenhem suas funções de forma eficaz, garantindo a continuidade das operações e a manutenção da produtividade.;3
79;SERVICO;OUTROS;900;OUTROS SERVIÇOS;S9000008;Arranjo Natalino;UND;12.0;1666.67;20000.0;1;SIM;Escola Legislativa;Aquisição de arranjos natalinos para decoração da área interna e externa do Poder Legislativo.;3
80;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000006;Aquisição de Gás de Cozinha - Botijões de GLP (gás liquefeito de petróleo) de 13kg;UND;80.0;187.5;15000.0;1;SIM;Almoxarifado – Assessora do Almoxarifado: Sâmela Dinarquel de Sousa Castro;Aquisição de gás para uso na cozinha do Legislativo. O motivo de tal solicitação visa atender as necessidades da copa/cozinha desta Casa Legislativa, no que se refere à preparação de chás/cafés e demais alimentos quentes, destinados aos servidores e para promover um ambiente receptivo aos visitantes que se encontram diariamente à espera de atendimento nos mais diversos gabinetes e setores, tornando-se indispensável a pretendida aquisição.;3
81;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000007;Aquisição de Gêneros alimentícios e materiais de copa e cozinha.;UND;12.0;41666.67;500000.0;1;SIM;Almoxarifado – Assessora do Almoxarifado: Sâmela Dinarquel de Sousa Castro;A aquisição de gêneros alimentícios é imprescindível à Câmara Municipal, para suprir as necessidades de fornecimento interno, bem como para dar atendimento de forma satisfatória, as constantes demandas de consumo para os setores de copeiragem que demandam diariamente no âmbito desta Casa de Leis.;3
82;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000008;Aquisição de Materiais de Limpeza;UND;12.0;31666.67;380000.0;1;SIM;Almoxarifado – Assessora do Almoxarifado: Sâmela Dinarquel de Sousa Castro;A aquisição de material de limpeza para a Câmara Municipal é fundamental para manter um ambiente adequado e saudável para os funcionários e para o público que frequenta o local. A limpeza regular é essencial para prevenir a propagação de doenças e garantir um ambiente de trabalho saudável para os funcionários e visitantes da Câmara Municipal.;3
83;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000009;Aquisição de Materiais Gráficos;UND;12.0;42916.67;515000.0;1;SIM;Almoxarifado – Assessora do Almoxarifado: Sâmela Dinarquel de Sousa Castro;A contratação supramencionada é de grande importância, haja vista que, os materiais gráficos a serem adquiridos como : Almofada para carimbos, agendas, bloco de anotações, calendários envelopes e outros, são indispensáveis para suprir as necessidades desta Casa Legislativa, fica evidenciado que a pretendida contratação, é de fundamental importância para garantir o adequado funcionamento dos setores e gabinetes que compõem a Câmara Municipal. Vale ressaltar, que aquisição em comento abrange a confecção de papel timbrado, bloco de anotações timbrados, agendas permanentes timbradas, cujo objetivo é identificar documentos oficiais desta Casa de Leis, tanto interna quanto externamente, portanto, sendo de extrema importância a contratação.;3
84;MATERIAL;OUTROS;1000;MATERIAIS DE INFORMÁTICA;M10000001;Aquisição de Materiais de Informática;UND;12.0;100000.0;1200000.0;1;SIM;CPD;A supramencionada aquisição tem por escopo, adquirir materiais de informática, para atender as necessidades desta Casa Legislativa, ou seja, todos os gabinetes e setores que compõem a Câmara Municipal, para que se mantenham os trabalhos administrativos e operacionais rotineiros dos setores e o serviço público em níveis aceitáveis ao funcionamento com excelência no desempenho , para o cumprimento de sua finalidade com eficiência e continuidade. Justifica-se ainda a solicitada aquisição pela necessidade de reposição do estoque de materiais do almoxarifado, sem a qual poderá prejudicar as atividades desenvolvidas pela Câmara Municipal, o que reforça a necessidade da referida solicitação, pois, trata-se de itens necessários às demandas rotineiras dos diversos setores e gabinetes que compõem esta Casa Legislativa, dando o devido funcionamento a rotina administrativa e parlamentar.;3
85;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000010;Aquisição de combustível do tipo Gasolina Aditivada e Diesel S10;UND;12.0;79166.67;950000.0;1;SIM;Frotas;A necessidade da contratação se justifica, a fim de garantir o funcionamento das atividades do Poder Legislativo e atuação dos vereadores no cumprimento de sua função constitucional de legítimos representantes do povo, na realização de suas atividades em outros órgãos e instituições dentro e fora do município, notadamente, garantir a circulação/movimentação dos vereadores no desenvolvimento da função típica da vereança. Além das 19 caminhonetes /pick-up cabine dupla, sendo esses veículos que compõem a frota, a Câmara Municipal também possui um Grupo Gerador de Energia Elétrica WEG quadro automático com capacidade de 142 KVA com combustível diesel S10. O motivo de tal solicitação também objetiva garantir o abastecimento e o funcionamento do gerador, cuja finalidade é atender as necessidades de demanda de energia elétrica para realizar as atividades do Poder Legislativo. durante as sessões ordinárias e extraordinárias, audiências públicas e toda a atuação dos vereadores no cumprimento de;3
86;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000011;Aquisição de suprimentos para central telefônica bem como aquisição de telefones;UND;12.0;4166.67;50000.0;1;SIM;Almoxarifado – Assessora do Almoxarifado: Sâmela Dinarquel de Sousa Castro;A presente solicitação se justifica pela necessidade em manter os telefones instalados, em todos os setores e gabinetes em perfeito estado de conservação e apropriados para a função a qual se destina, facilitando a comunicação entre os servidores desta Casa Legislativa a qual é composta por dois prédios com, 17 (dezessete) gabinetes e diversos setores. A aquisição de materiais para manutenção nos telefones e aquisição de aparelhos de telefone, visa assegurar a necessária continuidade na prestação de serviços de telefonia, tendo em vista a necessidade de constante manutenção nas centrais telefônicas e nos equipamentos instalados nos setores e entidades do Poder Legislativo, observando que se trata de serviços imprescindíveis e essenciais para a continuidade das atividades administrativas da Câmara Municipal.;3
87;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000012;Aquisição de Materiais Hidráulicos;UND;12.0;2500.0;30000.0;1;SIM;Almoxarifado – Assessora do Almoxarifado: Sâmela Dinarquel de Sousa Castro;Aquisição de Materiais Hidráulicos destinados a execução dos trabalhos e oferecer adequadas condições para sua realização durante o ano corrente, buscando atender de maneira eficaz as necessidades da Câmara Municipal. Os materiais foram calculados de forma estimativa, os mesmos serão solicitados, de acordo com a sua necessidade durante a rotina desta casa de leis.;3
88;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000013;Aquisição de Materiais Elétricos;UND;12.0;2500.0;30000.0;1;SIM;Almoxarifado – Assessora do Almoxarifado: Sâmela Dinarquel de Sousa Castro;Aquisição de Materiais Elétricos destinados a execução dos trabalhos e oferecer adequadas condições para sua realização durante o ano corrente, buscando atender de maneira eficaz as necessidades da Câmara Municipal. Os materiais foram calculados de forma estimativa, os mesmos serão solicitados, de acordo com a sua necessidade durante a rotina desta casa de leis.;3
89;MATERIAL;OUTROS;1300;EQUIPAMENTOS ELETRÔNICOS;M13000001;Aquisição de microfones para o plenário, bem como manutenção dos aparelhos existentes.;UND;12.0;8333.33;100000.0;1;SIM;Sonoplastia do Plenário;Contratação de empresa para o fornecimento de microfones para o plenário, bem como manutenção dos aparelhos existentes. proporcionando uma excelente estrutura para as sessões legislativas que acontecem no Plenário.;3
90;MATERIAL;OUTROS;1100;MÓVEIS E EQUIPAMENTOS;M11000001;Aquisição de móveis para escritório, como mesa, cadeiras, armários e afins.;UND;12.0;41666.67;500000.0;1;SIM;Patrimônio;Contratação de empresa para o fornecimento de mobiliário em geral (armários, mesas, cadeiras), proporcionando uma excelente estrutura fisica para os servidores da Casa Legislativa.;3
91;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000014;Aquisição de Materiais Personalizados;UND;12.0;12500.0;150000.0;1;SIM;Almoxarifado – Assessora do Almoxarifado: Sâmela Dinarquel de Sousa Castro;Contratação de empresa para confecção de materiais personalizados, como: carteiras de identificação para Vereadores, letreiros, placas de identificação em inox de salas, corredores, galerias de fotos e afins. O fornecimento dos materiais personalizados se justifica, pois, além de atender os objetivos e demandas é de fundamental importância pois, permite maior transparência e visibilidade das ações e trabalhos realizados pelo Poder legislativo Municipal.;3
92;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000015;Aquisição de Ares Condicionados;UND;12.0;8333.33;100000.0;1;SIM;Patrimônio;Contratação de empresa para o fornecimento de ares condicionados, sempre que necessário a troca, proporcionando uma excelente estrutura fisica para os servidores da Casa Legislativa.;3
93;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000016;Aquisição de Refis de Tintas para Impressoras Epson e Recarga de Tonners de Impressoras;UND;12.0;8333.33;100000.0;1;SIM;Almoxarifado – Assessora do Almoxarifado: Sâmela Dinarquel de Sousa Castro;Contratação de empresa para o fornecimento de refis de tintas para impressoras epson e recarga de tonners de impressoras, sempre que necessário, para o bom andamento desta Casa Legislativa. A contratação decorre da necessidade de atendimento de demandas ordinárias de impressão de documentos das unidades administrativas e operacionais da Câmara Municipal, a fim de executar as atividades de rotina no que diz respeito ao bom andamento do expediente interno e do atendimento ao público e proporcionar serviços públicos de qualidade.;3
94;MATERIAL;OUTROS;1300;EQUIPAMENTOS ELETRÔNICOS;M13000002;Aquisição de infraestrutura para abrigar os equipamentos de transmissão da Rádio FM e TV Digital;UND;12.0;103548.33;1242580.0;1;SIM;CPD;Contratação de empresa para o fornecimento de Torre Digital e seus perifericos, bem como reforma necessária do ambiente para a transmissão da programação Tv Câmara Digital e da Rádio FM Câmara, contribuindo para o bom funcionamento da mesma.;3
95;MATERIAL;OUTROS;1300;EQUIPAMENTOS ELETRÔNICOS;M13000003;Aquisição de equipamentos eletrônicos para a transmissão da programação Tv Câmara Digital e da Rádio FM Câmara;UND;12.0;194484.75;2333817.0;1;SIM;CPD;Contratação de empresa para o fornecimento de equipamentos eletrônicos para a transmissão da programação Tv Câmara Digital e da Rádio FM Câmara, contribuindo para o bom funcionamento da mesma.;3
